TIMESTAMP,CLOSE,HIGH,LOW,VOLUME,OPEN,BID,ASK,TRNOVR_UNS,VWAP,BLKCOUNT,BLKVOLUM,NUM_MOVES,TRD_STATUS,SALTIM,NAVALUE,VWAP_VOL,DATE,RETURN,DAILY_SENTIMENT,NUM_HEADLINES,POS_SHARE,NEG_SHARE
2025-10-09,254.04,258.0,253.14,38322012,257.805,254.02,254.06,9753341233,254.5094,56,10155025,536585,1,72000,,35131833,2025-10-09,-0.01557777261102078,0.28112429997418076,12,0.75,0.16666666666666666
2025-10-10,245.27,256.38,244.0,61999098,254.94,245.26,245.34,15398471080,248.6404,82,14086944,908253,1,72000,,56071082,2025-10-10,-0.03452212250039355,-0.6246643608364348,13,0.23076923076923078,0.7692307692307693
2025-10-13,247.66,249.69,245.56,38142942,249.38,247.57,247.59,9455774236,247.8978,61,12063482,614923,1,72000,,32897430,2025-10-13,0.009744363354670327,0.01432146057486532,10,0.4,0.2
2025-10-14,247.77,248.845,244.7,35477986,246.6,247.8,247.86,8775438757,247.3445,60,11244284,533528,1,72000,,31651792,2025-10-14,0.0004441573124445153,0.36900026791004664,18,0.7777777777777778,0.05555555555555555
2025-10-15,249.34,251.82,247.47,33893611,249.485,249.4,249.44,8459212114,249.6609,61,10488030,528880,1,72000,,29800469,2025-10-15,0.006336521774226167,0.3580521688091795,37,0.7027027027027027,0.05405405405405406
2025-10-16,247.45,249.04,245.13,39776974,248.25,247.42,247.43,9838993874,247.3225,64,9050803,616258,1,72000,,36647977,2025-10-16,-0.007580011229646355,0.1829300931723857,27,0.5925925925925926,0.14814814814814814
2025-10-17,252.29,253.38,247.27,49146961,248.02,252.29,252.3,12324083413,250.6956,96,17058744,634830,1,72000,,44202528,2025-10-17,0.0195595069711052,0.2922643829240567,18,0.7222222222222222,0.2777777777777778
2025-10-20,262.24,264.375,255.63,90483029,255.885,262.24,262.27,23679433199,261.8069,161,18966011,1160822,1,72000,,83129481,2025-10-20,0.03943874113123802,0.2699058452047981,13,0.6153846153846154,0.23076923076923078
2025-10-21,262.77,265.29,261.83,46695948,261.88,262.75,262.86,12300536141,263.4867,69,8950229,714946,1,72000,,42750866,2025-10-21,0.0020210494203782847,0.1588135171267721,18,0.5555555555555556,0.3333333333333333
2025-10-22,258.45,262.85,255.43,45015254,262.65,258.37,258.44,11644676589,258.6711,82,10946292,687144,1,72000,,39739635,2025-10-22,-0.016440232903299434,0.0771902049309574,32,0.53125,0.25
2025-10-23,259.58,260.62,258.0101,32754941,259.94,259.57,259.59,8502427792,259.5856,62,10945660,482460,1,72900,,27642763,2025-10-23,0.0043722189978718795,-0.3694635136052966,7,0.2857142857142857,0.7142857142857143
2025-10-24,262.82,264.13,259.18,38253717,261.19,262.77,262.84,10043092739,262.5489,44,7831849,599534,1,72000,,35793163,2025-10-24,0.012481701209646312,0.3782109650783241,4,0.75,0.0
2025-10-27,268.81,269.12,264.6501,44888152,264.88,268.74,268.77,11985374919,266.872,49,12879543,661982,1,72000,,39486383,2025-10-27,0.02279126398295417,0.38319123852998016,5,0.6,0.0
2025-10-28,269.0,269.89,268.15,41534759,268.985,269.01,269.04,11172288927,268.9974,95,10707548,585461,1,72000,,36932613,2025-10-28,0.0007068189427477112,0.5039374313006798,6,0.6666666666666666,0.0
2025-10-29,269.7,271.41,267.11,51086742,269.275,269.67,269.71,13768515898,269.4899,119,16078507,687375,1,72900,,40627362,2025-10-29,0.0026022304832713505,0.4842433761805296,3,0.6666666666666666,0.0
2025-10-30,271.4,274.14,268.48,69886534,271.99,271.22,271.42,19026805967,271.2497,99,12317720,984735,1,72000,,49109321,2025-10-30,0.006303299962921782,0.036878779375304774,30,0.5333333333333333,0.4
2025-10-31,270.37,277.32,269.16,86167123,276.99,270.24,270.37,23379515627,271.3118,146,30111845,1013846,1,72000,,69604978,2025-10-31,-0.0037951363301399477,0.631722211688757,25,0.8,0.08
2025-11-03,269.05,270.85,266.25,50194583,270.42,269.04,269.06,13467187915,268.0566,84,18722452,731851,1,76500,,39285231,2025-11-03,-0.004882198468765031,0.7267215991392731,5,0.8,0.0
2025-11-04,270.04,271.486,267.615,49274846,268.325,270.03,270.21,13291815937,269.8385,108,15443399,713303,1,75600,,40829952,2025-11-04,0.0036796134547483206,-0.0106859290972352,2,0.0,0.0
2025-11-05,270.14,271.7,266.93,43683072,268.61,270.06,270.12,11786398543,269.7728,102,18382844,588621,1,75600,,36284574,2025-11-05,0.00037031550881327924,0.38463036548346274,5,1.0,0.0
2025-11-06,269.77,273.4,267.89,51204045,267.89,269.64,269.8,13861638554,270.8379,106,17469138,718679,1,75600,,43795907,2025-11-06,-0.0013696601762049898,0.5723772756755352,4,1.0,0.0
2025-11-07,268.47,272.29,266.77,48227365,269.795,268.46,268.58,12973407220,269.0397,73,12358145,754451,1,75600,,43881984,2025-11-07,-0.004818919820587686,-0.45117630190216007,10,0.2,0.6
2025-11-10,269.43,273.73,267.455,41312412,268.96,269.39,269.42,11156771996,270.1207,64,11585200,675207,1,75600,,37211833,2025-11-10,0.003575818527209673,-0.30133038650577265,3,0.3333333333333333,0.3333333333333333
2025-11-11,275.25,275.91,269.8,46208318,269.81,275.24,275.35,12664070932,274.0638,78,9969504,702875,1,75600,,44084101,2025-11-11,0.021601158000222664,0.013081452809274205,3,0.3333333333333333,0.3333333333333333
2025-11-12,273.47,275.73,271.7,48397982,275.0,273.52,273.54,13254788554,273.7703,132,20476543,591930,1,76500,,37144149,2025-11-12,-0.006466848319709229,0.28098179935477674,4,0.75,0.25
2025-11-13,272.95,276.699,272.09,49602794,274.11,272.95,273.06,13559722441,273.4411,102,18860165,684410,1,75600,,37439625,2025-11-13,-0.0019014882802502742,-0.15121483204088046,7,0.2857142857142857,0.2857142857142857
2025-11-14,272.41,275.96,269.6,47431331,271.05,272.41,272.6,12953890184,273.2032,111,15660202,705592,1,75600,,38878098,2025-11-14,-0.0019783843194722817,0.1439202789749418,14,0.42857142857142855,0.35714285714285715
